price,location,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
49500000.0,"imadol, lalitpur",6.0,4.0,1700.0,20.0,north-west,3.0,3,full-furnished
53000000.0,"dhapasi, kathmandu",6.0,4.0,1000.0,13.0,south-west,3.0,3,un-furnished
36500000.0,"tokha, kathmandu",5.0,3.0,1700.0,26.0,south,2.5,4,full-furnished
55000000.0,"hattiban, lalitpur",3.0,3.0,1700.0,11.0,south,2.5,3,semi-furnished
37500000.0,"sanepa, lalitpur",4.0,3.0,1672.0,20.0,south,2.5,3,un-furnished
80000000.0,"sinamangal, kathmandu",9.0,3.0,1700.0,20.0,south,2.5,3,un-furnished
24000000.0,"imadol, lalitpur",5.0,3.0,1700.0,13.0,south,3.0,3,semi-furnished
17500000.0,"halgadha, sunsari",6.0,3.0,3500.0,20.0,east,2.5,7,un-furnished
42500000.0,"tikathali, lalitpur",6.0,4.0,1700.0,13.0,south-west,3.5,3,full-furnished
27500000.0,"bhaisepati, lalitpur",3.0,3.0,1700.0,15.0,south,2.5,3,un-furnished
43000000.0,"chapali, kathmandu",6.0,4.0,1000.0,21.0,south,3.0,3,un-furnished
29000000.0,"imadol, lalitpur",5.0,3.0,1700.0,13.0,east,3.0,3,semi-furnished
29000000.0,"tikathali, lalitpur",6.0,5.0,1700.0,13.0,south,3.0,4,un-furnished
68500000.0,"khumaltar, lalitpur",5.0,4.0,1700.0,20.0,north-east,2.5,7,full-furnished
65000000.0,"hattiban, lalitpur",5.0,5.0,1700.0,15.0,south,2.5,3,semi-furnished
39700000.0,"dhapakhel, lalitpur",8.0,4.0,1700.0,20.0,south,3.5,3,semi-furnished
27500000.0,"imadol, lalitpur",6.0,4.0,1700.0,13.0,north,3.0,3,semi-furnished
29000000.0,"imadol, lalitpur",6.0,4.0,1700.0,13.0,south-west,3.0,3,full-furnished
28900000.0,"shital height, lalitpur",5.0,3.0,1700.0,20.0,north-west,2.5,3,full-furnished
27500000.0,"tokha, kathmandu",6.0,4.0,1700.0,11.0,south-west,3.0,3,semi-furnished
29900000.000000004,"imadol, lalitpur",5.0,3.0,1700.0,13.0,west,3.0,3,semi-furnished
55000000.0,"mandikhatar, kathmandu",6.0,4.0,1000.0,20.0,south,3.0,6,un-furnished
34500000.0,"imadol, lalitpur",6.0,4.0,1700.0,13.0,east,3.0,3,un-furnished
32000000.0,"bhandari marg, lalitpur",4.0,4.0,1700.0,14.0,south-east,3.0,3,semi-furnished
37000000.0,"imadol, lalitpur",4.0,4.0,1700.0,16.0,west,3.0,3,full-furnished
36000000.0,"lubhu, lalitpur",4.0,3.0,1700.0,13.0,south,3.0,3,full-furnished
37500000.0,"bhaisepati, lalitpur",5.0,5.0,1700.0,15.0,south,2.5,6,semi-furnished
80000000.0,"bhaisepati, lalitpur",5.0,5.0,1700.0,18.0,west,2.5,4,un-furnished
29000000.0,"tikathali, lalitpur",4.0,3.0,1700.0,13.0,south,3.5,3,full-furnished
29000000.0,"tikathali, lalitpur",4.0,1.0,1700.0,13.0,south-east,3.0,3,full-furnished
34500000.0,"tikathali, lalitpur",4.0,3.0,1700.0,13.0,south,3.0,3,full-furnished
26500000.0,"tikathali, lalitpur",4.0,3.0,1700.0,13.0,south,3.0,3,semi-furnished
29500000.0,"imadol, lalitpur",5.0,4.0,1700.0,13.0,north-east,3.0,2,semi-furnished
35000000.0,"shital height, lalitpur",6.0,4.0,1700.0,13.0,west,3.0,3,full-furnished
45000000.0,"lubhu, lalitpur",4.0,3.0,1700.0,14.0,south,2.5,3,semi-furnished
41000000.0,"pepsicola, kathmandu",4.0,3.0,1700.0,13.0,east,3.0,3,semi-furnished
35000000.0,"banasthali, kathmandu",4.0,4.0,1700.0,15.0,south,3.0,6,semi-furnished
38000000.0,"imadol, lalitpur",4.0,3.0,1700.0,20.0,south,2.5,3,full-furnished
37500000.0,"imadol, lalitpur",6.0,4.0,1700.0,20.0,north-east,3.0,3,full-furnished
49000000.0,"budhanilkantha, kathmandu",5.0,3.0,1700.0,20.0,south,3.0,3,full-furnished
27000000.0,"tikathali, lalitpur",4.0,4.0,1700.0,14.0,west,3.0,4,semi-furnished
21500000.0,"harisiddhi, lalitpur",5.0,3.0,1700.0,13.0,east,3.0,3,semi-furnished
38900000.0,"tikathali, lalitpur",6.0,4.0,1700.0,24.0,west,3.0,5,full-furnished
14000000.0,"ratnanagar, chitwan",3.0,2.0,775.0,4.0,west,2.5,3,semi-furnished
33500000.0,"tikathali, lalitpur",6.0,5.0,1700.0,13.0,west,3.0,6,semi-furnished
20000000.0,"thimi, bhaktapur",4.0,3.0,1700.0,20.0,south,3.0,3,semi-furnished
