price,location,property_type,bedrooms,bathrooms,area,road_access,facing,floor,parking,furnish_status
Rs. 4.95 Cr,"Imadol, Lalitpur",,6,4,,20 Feet,North-West,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 5.3 Cr,"Dhapasi, Kathmandu",,6,4,1000 Sq. Ft.,13 Feet,South-West,3,1 Car  & 2 Bikes,Un-Furnished
Rs. 3.65 Cr,"Tokha, Kathmandu",,5,3,,26 Feet,,2.5,1 Car  & 3 Bikes,Full-Furnished
Rs. 5.5 Cr,"Hattiban, Lalitpur",,3,3,,11 Feet,,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.75 Cr,"Sanepa, Lalitpur",,4,3,1672 Sq. Ft.,20 Feet,South,2.5,,Un-Furnished
Rs. 8 Cr,"Sinamangal, Kathmandu",,9,3,,20 Feet,,2.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 4 Lac/m,"Manbhawan, Lalitpur",,4,3,,16 Feet,,2.5,3 Cars  & 5 Bikes,Full-Furnished
Rs. 2 Lac/m,"Bhaisepati, Lalitpur",,5,5,,,,2.5,1 Car  & 3 Bikes,Full-Furnished
"Rs. 50,000 /m","Sanepa, Lalitpur",,2,2,,20 Feet,South,3,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.4 Cr,"Imadol, Lalitpur",,5,3,,13 Feet,South,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 1.75 Cr,"Halgadha, Sunsari",,6,3,3500 Sq. Ft.,20 Feet,East,2.5,2 Cars  & 5 Bikes,Un-Furnished
Rs. 4.25 Cr,"Tikathali, Lalitpur",,6,4,,13 Feet,South-West,3.5,1 Car  & 2 Bikes,Full-Furnished
Rs. 2.75 Cr,"Bhaisepati, Lalitpur",,3,3,1700 Sq. Ft.,15 Feet,South,2.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 4.3 Cr,"Chapali, Kathmandu",,6,4,1000 Sq. Ft.,21 Feet,South,3,1 Car  & 2 Bikes,Un-Furnished
"Rs. 45,000 /m","Dhapakhel, Lalitpur",,4,3,,20 Feet,South,2.5,1 Car  & 2 Bikes,Un-Furnished
Rs. 2.9 Cr,"Imadol, Lalitpur",,5,3,,13 Feet,East,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.9 Cr,"Tikathali, Lalitpur",,6,5,,13 Feet,South,3,1 Car  & 3 Bikes,Un-Furnished
Rs. 6.85 Cr,"Khumaltar, Lalitpur",,5,4,,20 Feet,North-East,2.5,4 Cars  & 3 Bikes,Full-Furnished
Rs. 3 Lac/m,"Chappal Karkhana, Kathmandu",,4,3,,,,2.5,3 Cars  & 6 Bikes,Un-Furnished
Rs. 6.5 Cr,"Hattiban, Lalitpur",,5,5,,15 Feet,South,2.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 3.97 Cr,"Dhapakhel, Lalitpur",,8,4,,20 Feet,South,3.5,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.75 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,North,3,1 Car  & 2 Bikes,Semi-Furnished
Rs. 2.9 Cr,"Imadol, Lalitpur",,6,4,,13 Feet,South-West,3,1 Car  & 2 Bikes,Full-Furnished
